longitude,latitude,location,detections,recordings
-135.029215,59.726599,EG-FRASE-S1,1,1
-135.23068,60.745034,EG-SUMAN-S1,10,4
-135.23759,60.74926,EG-SUMAN-S3,4,4
-134.684447,60.22055,EG-CARIB-A3,2,2
-134.702238,60.21652,EG-CARIB-S1,2,2
-134.694722,60.214195,EG-CARIB-S3,5,4
-134.784561,60.480385,EG-LORNE-A2,1,1
-134.79037,60.478831,EG-LORNE-S6,5,5
-135.15395,60.6335,EG-MCINT-S2,1,1
-139.432086,61.458604,EG-QUILL-A7,3,3
-139.44269,61.45896,EG-QUILL-S8,1,1
-137.080096,60.429043,EG-ROCK-S1,13,7
-137.082859,60.419696,EG-ROCK-S3,2,1
-135.26468,60.76104,EG-SUMAN-A2,1,1
-134.703465,60.212692,EG-CARIB-B3,3,2
-137.072965,60.423234,EG-ROCK-S2,3,1
-134.785999,60.473217,EG-LORNE-S4,1,1
-137.08173,60.45179,YTHEMP-RUR-265140-S7A,9,5
-134.56765,60.05945,YTHEMP-BMP-242679-L3,22,13
-137.080536,60.453992,YTHEMP-RUR-265140-H1,13,11
-137.08044,60.4509,YTHEMP-RUR-265140-H2,5,4
-137.08518,60.44842,YTHEMP-RUR-265140-H3,1,1
-137.09059,60.44871,YTHEMP-RUR-265140-S5,17,10
-137.08592,60.45008,YTHEMP-RUR-265140-S6,39,18
-137.07727,60.45186,YTHEMP-RUR-265140-S8,4,4
-136.932976,60.871431,YTHEMP-RUR-276468-S1,1,1
-138.59036,61.01519,YTHEMP-SEM-288569-H2,1,1
-138.586714,61.023024,YTHEMP-SEM-288569-S1,18,14
-135.12992,60.20769,YTHEMP-YSH-248916-S2,15,12
-135.02671,60.22342,YTHEMP-YSH-248917-S1,5,4
-135.036602,60.217984,YTHEMP-YSH-248917-S2,7,6
-135.02658,60.21699,YTHEMP-YSH-248917-S3,10,8
-135.041568,60.212487,YTHEMP-YSH-249486-S4,30,16
-134.703956,60.221792,YTHEMP-YSL-247779-H2,1,1
-134.715703,60.235078,YTHEMP-YSL-247779-H3,7,4
