longitude,latitude,location,detections,recordings
-133.10298,60.60865,EG-CANOL-A4,12,4
-133.116785,60.605659,EG-CANOL-A6,8,3
-133.094517,60.603712,EG-CANOL-S8,16,4
-134.678184,60.214673,EG-CARIB-A1,5,5
-134.691547,60.218051,EG-CARIB-S2,6,5
-139.677804,61.683141,EG-DANE-A2,1,1
-133.032284,60.583723,EG-DEADM-A3,4,3
-133.044287,60.574684,EG-DEADM-S7,5,4
-135.029152,59.729389,EG-FRASE-A1,6,5
-135.034914,59.72271,EG-FRASE-B3,2,2
-135.029215,59.726599,EG-FRASE-S1,5,5
-136.424758,59.540517,EG-GLAVE-A1,10,5
-136.415094,59.543631,EG-GLAVE-A3,1,1
-136.417173,59.536331,EG-GLAVE-A5,4,3
-136.434896,59.538677,EG-GLAVE-S2,10,5
-136.427362,59.534166,EG-GLAVE-S6,6,4
-136.541836,59.700486,EG-KUSAW-A2,3,2
-136.75017,59.95335,EG-PARTO-A2,8,4
-136.764671,59.94813,EG-PARTO-S1,3,3
-136.75774,59.9496,EG-PARTO-S3,11,4
-136.757483,59.94311,EG-PARTO-S5,13,6
-133.09143,60.60872,EG-CANOL-A2,10,5
-134.677557,60.217423,EG-CARIB-A2,2,1
-134.684447,60.22055,EG-CARIB-A3,7,5
-133.042537,60.58169,EG-DEADM-A1,9,5
-133.022725,60.577882,EG-DEADM-A6,13,4
-133.051491,60.580191,EG-DEADM-S5,1,1
-136.531421,59.698535,EG-KUSAW-A4,8,4
-136.541936,59.695466,EG-KUSAW-A5,1,1
-136.579556,59.691956,EG-KUSAW-S2,6,4
-136.569624,59.693058,EG-KUSAW-S4,7,5
-136.561755,59.69581,EG-KUSAW-S6,12,6
-136.553683,59.697783,EG-KUSAW-S8,18,6
-134.784561,60.480385,EG-LORNE-A2,1,1
-134.776415,60.478015,EG-LORNE-A6,4,3
-136.746941,59.945553,EG-PARTO-A4,13,5
-139.432086,61.458604,EG-QUILL-A7,3,2
-139.422206,61.456052,EG-QUILL-A9,2,2
-137.08893,60.41768,EG-ROCK-A3,7,4
-137.080096,60.429043,EG-ROCK-S1,2,2
-137.082859,60.419696,EG-ROCK-S3,3,3
-137.088856,60.426646,EG-ROCK-A1,4,4
-134.785999,60.473217,EG-LORNE-S4,1,1
-134.77036,60.477124,EG-LORNE-A7,1,1
-137.08173,60.45179,YTHEMP-RUR-265140-S7A,2,2
-134.63919,60.04538,YTHEMP-BMP-242114-S1,4,4
-137.080536,60.453992,YTHEMP-RUR-265140-H1,1,1
-137.08518,60.44842,YTHEMP-RUR-265140-H3,2,2
-137.10015,60.44754,YTHEMP-RUR-265140-S1,1,1
-137.096038,60.44803,YTHEMP-RUR-265140-S2,11,9
-137.09141,60.44586,YTHEMP-RUR-265140-S3,7,7
-137.09647,60.44474,YTHEMP-RUR-265140-S4,8,4
-137.09059,60.44871,YTHEMP-RUR-265140-S5,18,12
-137.08592,60.45008,YTHEMP-RUR-265140-S6,10,7
